Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
d1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-06,0.781536,2.11,0.07,0:02.20,99,359.24,2213,55486053,17814434,zstd,4,31,31,82,88
d1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-06,0.781536,3.79,0.07,0:03.87,99,464.82,3885,55486053,17729655,zstd-11,4,31,31,82,88
d1p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-06,0.781536,325.45,0.6,5:26.14,99,38722.2,326178,55486053,17640420,zstd-22,4,31,31,82,88
d2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.000292,0.289229,2.13,0.05,0:02.20,99,373.1,2215,55486053,17817302,zstd,4,31,31,82,88
d2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.000292,0.289229,3.81,0.07,0:03.91,99,466.41,3927,55486053,17732006,zstd-11,4,31,31,82,88
d2c,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.000292,0.289229,331.64,0.48,5:32.21,99,39213.5,332244,55486053,17661199,zstd-22,4,31,31,82,88
d2k,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,9.9E-05,0.015475,2.1,0.07,0:02.19,99,355.29,2202,55486057,17800895,zstd,4,31,31,82,88
d2k,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,9.9E-05,0.015475,3.91,0.09,0:04.01,99,583.01,4028,55486057,17712014,zstd-11,4,31,31,82,88
d2k,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,9.9E-05,0.015475,333.23,0.52,5:33.83,99,39290.5,333867,55486057,17643454,zstd-22,4,31,31,82,88
d2n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-05,0.044808,2.1,0.07,0:02.19,99,369.75,2202,55486053,17817995,zstd,4,31,31,82,88
d2n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-05,0.044808,3.79,0.07,0:03.87,99,472.78,3889,55486053,17731305,zstd-11,4,31,31,82,88
d2n,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,3E-05,0.044808,332,0.47,5:32.56,99,39219.4,332594,55486053,17661499,zstd-22,4,31,31,82,88
d2p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2E-06,0.00224,2.1,0.08,0:02.19,99,368.72,2247,55486053,17846330,zstd,4,31,31,82,88
d2p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2E-06,0.00224,3.8,0.07,0:03.93,98,464.13,3943,55486053,17761016,zstd-11,4,31,31,82,88
d2p,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,2E-06,0.00224,332.98,0.55,5:33.62,99,39590.9,333652,55486053,17691142,zstd-22,4,31,31,82,88
d2s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.001493,0.213106,2.11,0.07,0:02.20,99,358.36,2218,55486055,17811690,zstd,4,31,31,82,88
d2s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.001493,0.213106,3.79,0.09,0:03.90,99,470.86,3913,55486055,17723731,zstd-11,4,31,31,82,88
d2s,DOUBLE,64,55476608,6934576,8,4,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,-99990000000,0.001493,0.213106,336.72,0.45,5:37.30,99,39680.8,337333,55486055,17653328,zstd-22,4,31,31,82,88
depth,FLOAT,32,124,31,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,5,3500,0,0.01,0:00.02,62,134.75,36,10925,11042,zstd,1,31,,,
