Variable_Name,Data_Type,Type_Precision,Storage_Size,Number_of_Elements,DataType_Size,Number_of_Attributes,Storage_Layout,Fill_Value_Definition,Fill_Value,Min_Value,Max_Value,User_Time,System_Time,Elapsed_Time,CPU_Usage,Energy_Joules,Nano_Seconds,FileSize_in_Folder_Before,FileSize_in_Folder_After,Compressor,Array_Dimension,DM1,DM2,DM3,DM4
albedo_vis,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,0.74,0.01,0:00.77,98,126.57,789,9160617,6770446,zstd,3,124,96,192,
albedo_vis,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,1.08,0.01,0:01.11,98,224.44,1125,9160617,6707163,zstd-11,3,124,96,192,
albedo_vis,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,7.81,0.02,0:07.85,99,940.95,7869,9160617,6677006,zstd-22,3,124,96,192,
albedo_vis_dif,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,0.35,0,0:00.37,97,112.03,381,9160625,3033913,zstd,3,124,96,192,
albedo_vis_dif,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,0.91,0.02,0:00.94,99,113.56,956,9160625,3020998,zstd-11,3,124,96,192,
albedo_vis_dif,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,47.92,0.01,0:47.96,99,5658.44,47980,9160625,2992745,zstd-22,3,124,96,192,
albedo_vis_dir,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,0.68,0.02,0:00.72,98,123.49,734,9160624,7034313,zstd,3,124,96,192,
albedo_vis_dir,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,0.95,0.01,0:00.97,99,122.12,990,9160624,6991943,zstd-11,3,124,96,192,
albedo_vis_dir,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0.031714,0.968693,7.32,0.01,0:07.35,99,934.54,7365,9160624,6975264,zstd-22,3,124,96,192,
alsobs,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,0.7,0.01,0:00.72,98,120.75,730,9160630,6100849,zstd,3,124,96,192,
alsobs,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,1.02,0.02,0:01.06,98,224.33,1072,9160630,6071474,zstd-11,3,124,96,192,
alsobs,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,7.82,0.02,0:07.86,99,970.34,7871,9160630,5983315,zstd-22,3,124,96,192,
alsoi,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,0.7,0,0:00.72,98,122.25,731,9160602,6100845,zstd,3,124,96,192,
alsoi,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,1.01,0.02,0:01.05,99,228.97,1061,9160602,6071452,zstd-11,3,124,96,192,
alsoi,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.946977,7.81,0.02,0:07.85,99,929.01,7865,9160602,5983451,zstd-22,3,124,96,192,
alsol,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.869186,0.34,0.01,0:00.36,97,132.43,379,9160603,2846525,zstd,3,124,96,192,
alsol,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.869186,0.54,0.02,0:00.57,97,128.75,588,9160603,2812122,zstd-11,3,124,96,192,
alsol,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.869186,76.11,0.02,1:16.16,99,9032.09,76192,9160603,2779268,zstd-22,3,124,96,192,
alsom,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.341736,0.02,0.01,0:00.04,81,123.49,59,9160609,34468,zstd,3,124,96,192,
alsom,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.341736,0.04,0.01,0:00.06,89,115.4,80,9160609,34094,zstd-11,3,124,96,192,
alsom,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.341736,10.18,0.02,0:10.22,99,1290.51,10234,9160609,35081,zstd-22,3,124,96,192,
alsow,FLOAT,32,9142272,2285568,4,5,H5D_CHUNKED,H5D_FILL_VALUE_USER_DEFINED,9.96920996838687E+036,0,0.338804,0.7,0.03,0:00.74,99,119.53,753,9160604,5625702,zstd,3,124,96,192,
